nationality,player,Rank,club,age,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
Japan,Maya Yoshida,115.0,Southampton,29.0,23(1),2051.0,2,,2,1,0.8,84.2,2.8,,6.86
Japan,Hiroki Sakai,77.0,Marseille,28.0,8(2),765.0,1,1,1,,0.4,79.4,2,,7.26
Japan,Hiroki Sakai,104.0,Marseille,28.0,30(3),2523.0,,3,1,,0.1,82.2,1.8,1,6.89
Japan,Gotoku Sakai,200.0,Hamburger SV,27.0,26(2),2289.0,,,2,,0.6,75.7,1.3,,6.63
Japan,Gen Shoji,,,,,,,,,,,,,,
Japan,Wataru Endo,,,,,,,,,,,,,,
Japan,Naomichi Ueda,,,,,,,,,,,,,,
Japan,Makoto Hasebe,215.0,Eintracht Frankfurt,34.0,23(1),2090.0,,,3,1,0.1,88.5,0.6,,6.57
Japan,Keisuke Honda,,,,,,,,,,,,,,
Japan,Takashi Inui,198.0,Eibar,30.0,31(3),2640.0,5,2,4,,1.9,80.4,0.4,2,6.64
Japan,Shinji Kagawa,123.0,Borussia Dortmund,29.0,12(7),1166.0,5,1,,,1.3,87.5,0.1,,6.81
Japan,Shinji Kagawa,237.0,Borussia Dortmund,29.0,5,402.0,,2,,,2.2,88.4,0.6,,6.73
Japan,Hotaru Yamaguchi,,,,,,,,,,,,,,
Japan,Genki Haraguchi,,,,,,,,,,,,,,
Japan,Takashi Usami,103.0,Fortuna Duesseldorf,26.0,14(14),1389.0,8,3,,,1.3,78.4,0.3,2,6.89
Japan,Gaku Shibasaki,277.0,Getafe,26.0,12(10),1004.0,1,,2,,0.5,74.7,0.3,,6.4
Japan,Ryota Oshima,,,,,,,,,,,,,,
Japan,Shinji Okazaki,230.0,Leicester,32.0,17(10),1330.0,6,2,2,,1,73.3,1.1,1,6.58
Japan,Yuya Osako,393.0,FC Cologne,28.0,3(3),357.0,2,1,,,1.7,78.3,1.2,1,6.71
Japan,Yuya Osako,237.0,FC Cologne,28.0,23(2),1906.0,4,2,2,1,1.4,72.9,1.4,1,6.51
Japan,Yoshinori Muto,148.0,Mainz 05,25.0,20(7),1906.0,8,2,2,,1.4,74.9,1.3,1,6.75
Argentina,Nahuel Guzmán,,,,,,,,,,,,,,
Argentina,Willy Caballero,,,,,,,,,,,,,,
Argentina,Franco Armani,64.0,River Plate,31.0,14,1260.0,,,,,,62.3,0.4,,7.11
Argentina,Gabriel Mercado,129.0,Sevilla,31.0,25(1),2124.0,,1,9,,0.7,83.1,1.6,1,6.8
Argentina,Gabriel Mercado,333.0,Sevilla,31.0,8,692.0,,,3,,0.3,79.0,1,,6.49
Argentina,Nicolas Otamendi,33.0,Manchester City,30.0,33(1),2968.0,4,,9,,0.9,91.9,2.3,5,7.13
Argentina,Nicolas Otamendi,49.0,Manchester City,30.0,8,720.0,1,,2,,0.6,92.6,3.3,,7.28
Argentina,Federico Fazio,98.0,Roma,31.0,10(1),922.0,,1,2,,0.5,85.5,2.9,,7.07
Argentina,Federico Fazio,18.0,Roma,31.0,32(2),2920.0,2,,6,,0.5,84.4,4.4,5,7.26
Argentina,Nicolas Tagliafico,,,,,,,,,,,,,,
Argentina,Marcos Rojo,,,,,,,,,,,,,,
Argentina,Marcos Acuna,216.0,Sporting CP,26.0,4(2),404.0,,,,,2,72.2,0.7,1,6.97
Argentina,Marcos Acuna,28.0,Sporting CP,26.0,27(4),2296.0,4,5,7,,1.5,76.5,0.6,3,7.19
Argentina,Marcos Acuna,235.0,Sporting CP,26.0,5,433.0,,1,2,,,71.3,0.8,,6.74
Argentina,Cristian Ansaldi,81.0,Torino,31.0,20(5),1868.0,1,3,5,1,0.7,74.4,0.2,1,6.92
Argentina,Eduardo Salvio,45.0,Benfica,27.0,19(7),1608.0,9,4,4,,1.9,81.0,0.2,1,7.05
Argentina,Eduardo Salvio,194.0,Benfica,27.0,4(1),398.0,,,2,,2,81.5,0.6,,6.82
Argentina,Javier Mascherano,46.0,Hebei CFFC,33.0,10,900.0,,1,4,,1,81.7,1.5,,7.03
Argentina,Angel Di Maria,13.0,Paris Saint Germain,30.0,26(4),2122.0,11,6,1,,3.2,79.4,,3,7.37
Argentina,Angel Di Maria,312.0,Paris Saint Germain,30.0,1(4),143.0,1,1,,,1.4,76.2,,,6.55
Argentina,Ever Banega,42.0,Sevilla,29.0,25(6),2397.0,3,3,9,1,1.2,86.8,0.4,,7.08
Argentina,Ever Banega,15.0,Sevilla,29.0,9,792.0,1,2,4,,1.2,87.6,0.3,2,7.72
Argentina,Lucas Biglia,36.0,AC Milan,32.0,5,450.0,,,,,0.6,89.9,1.6,,7.43
Argentina,Lucas Biglia,95.0,AC Milan,32.0,24(4),2043.0,1,1,5,,0.8,91.0,0.8,1,6.88
Argentina,Manuel Lanzini,55.0,West Ham,25.0,23(4),2049.0,5,6,4,,1.6,87.6,0.1,2,7.04
Argentina,Gio Lo Celso,,,,,,,,,,,,,,
Argentina,Maximiliano Meza,21.0,Independiente,26.0,17(2),1539.0,3,4,1,,2.5,76.5,2.1,,7.3
Argentina,Lionel Messi,1.0,Barcelona,30.0,32(4),2997.0,34,12,3,,5.5,81.2,0.2,22,8.68
Argentina,Lionel Messi,6.0,Barcelona,30.0,8(2),783.0,6,2,2,,4.4,81.5,0.2,6,8.03
Argentina,Sergio Aguero,1.0,Manchester City,30.0,22(3),1969.0,21,6,2,,3.8,82.8,0.4,4,7.81
Argentina,Sergio Aguero,109.0,Manchester City,30.0,5(2),440.0,4,1,,,3.4,77.2,0.3,,7.05
Argentina,Gonzalo Higuain,56.0,Juventus,30.0,9(1),831.0,5,1,1,,2.4,78.5,0.5,2,7.24
Argentina,Gonzalo Higuain,19.0,Juventus,30.0,32(3),2818.0,16,6,4,,2.9,80.4,0.3,5,7.25
Argentina,Paulo Dybala,181.0,Juventus,24.0,8,661.0,1,,,1,4.1,87.7,0.1,,6.86
Argentina,Paulo Dybala,1.0,Juventus,24.0,26(7),2358.0,22,5,,,3.5,87.3,0.2,8,7.77
Argentina,Cristian Pavon,5.0,Boca Juniors,22.0,26,2283.0,6,11,3,,2.5,74.0,0.7,5,7.57
