url,date,game,stadium,venue,home,away,home_result,away_result,home_attempts,away_attempts,home_on-target,away_on-target,home_off-target,away_off-target,home_blocked,away_blocked,home_woodwork,away_woodwork,home_corners,away_corners,home_offsides,away_offsides,home_passes,away_passes,home_passes_completed,away_passes_completed,home_distance_covered,away_distance_covered,home_balls_recovered,away_balls_recovered,home_tackles,away_tackles,home_blocks,away_blocks,home_clearances,away_clearances,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_second_yellow_card_leading_to_red_card,away_second_yellow_card_leading_to_red_card,home_fouls_committed,away_fouls_committed,home_ball_possession,away_ball_possession,home_pass_accuracy,away_pass_accuracy
/worldcup/matches/match/300331525/,2018-06-17T06:00:00.000Z,Group E,Rostov Arena,Rostov-On-Don,Brazil,Switzerland,1,1,20,6,4,2,9,4,7,0,0,0,7 ,2 ,1 ,0 ,521,436,460,362,103 km,108 km,51 ,56 ,4,17,0,7,14,19,1 ,3 ,0,0,0,0,12,19,52%,48%,88%,83%
/worldcup/matches/match/300331499/,2018-06-18T12:00:00.000Z,Group F,Nizhny Novgorod Stadium,Nizhny Novgorod,Sweden,Korea Republic,1,0,15,5,4,0,5,2,6,3,0,0,6 ,5 ,1 ,0 ,417,351,352,278,102 km,103 km,43 ,45 ,9,12,3,6,30,31,1 ,2 ,0,0,0,0,20,23,52%,48%,84%,79%
/worldcup/matches/match/300331539/,2018-06-18T03:00:00.000Z,Group G,Fisht Stadium,Sochi,Belgium,Panama,3,0,15,6,6,2,7,4,2,0,0,0,9 ,3 ,1 ,3 ,544,317,483,260,102 km,100 km,41 ,38 ,1,6,0,2,12,29,3 ,5 ,0,0,0,0,17,18,61%,39%,89%,82%
/worldcup/matches/match/300331554/,2018-06-18T06:00:00.000Z,Group G,Volgograd Arena,Volgograd,Tunisia,England,1,2,6,17,1,7,3,7,2,3,0,2,2 ,7 ,2 ,3 ,326,492,266,446,103 km,105 km,30 ,37 ,12,2,3,2,26,8,0 ,1 ,0,0,0,0,14,8,41%,59%,82%,91%
/worldcup/matches/match/300331550/,2018-06-19T12:00:00.000Z,Group H,Mordovia Arena,Saransk,Colombia,Japan,1,2,8,14,3,6,1,5,4,3,0,0,3 ,6 ,2 ,1 ,352,565,290,491,93 km,101 km,40 ,46 ,15,16,3,4,22,24,2 ,1 ,1,0,0,0,15,9,41%,59%,82%,87%
/worldcup/matches/match/300331545/,2018-06-19T03:00:00.000Z,Group H,Spartak Stadium,Moscow,Poland,Senegal,1,2,10,8,4,2,5,4,1,2,0,0,3 ,3 ,3 ,3 ,552,328,483,266,110 km,107 km,43 ,48 ,11,9,2,1,23,38,1 ,2 ,0,0,0,0,8,15,57%,43%,88%,81%
/worldcup/matches/match/300331495/,2018-06-19T06:00:00.000Z,Group A,Saint Petersburg Stadium,St. Petersburg,Russia,Egypt,3,1,11,13,3,1,5,8,3,4,0,0,7 ,4 ,0 ,0 ,380,438,289,356,115 km,110 km,59 ,41 ,9,11,4,3,47,29,1 ,1 ,0,0,0,0,11,10,47%,53%,76%,81%
/worldcup/matches/match/300331511/,2018-06-20T12:00:00.000Z,Group B,Luzhniki Stadium,Moscow,Portugal,Morocco,1,0,10,16,2,4,4,10,4,2,0,0,5 ,7 ,1 ,1 ,387,466,293,359,105 km,107 km,49 ,66 ,13,17,2,4,36,16,1 ,1 ,0,0,0,0,19,23,47%,53%,76%,77%
/worldcup/matches/match/300331530/,2018-06-20T03:00:00.000Z,Group A,Rostov Arena,Rostov-On-Don,Uruguay,Saudi Arabia,1,0,13,8,4,3,6,3,3,2,0,0,3 ,4 ,1 ,2 ,521,590,456,510,101 km,100 km,43 ,45 ,6,11,2,3,19,14,0 ,0 ,0,0,0,0,10,13,47%,53%,88%,86%
/worldcup/matches/match/300331496/,2018-06-20T06:00:00.000Z,Group B,Kazan Arena,Kazan,IR Iran,Spain,0,1,5,17,0,3,5,6,0,8,0,0,2 ,6 ,2 ,1 ,219,805,152,718,106 km,105 km,50 ,35 ,17,5,8,0,48,14,2 ,0 ,0,0,0,0,14,14,30%,70%,69%,89%
/worldcup/matches/match/300331518/,2018-06-21T12:00:00.000Z,Group C,Samara Arena,Samara,Denmark,Australia,1,1,10,14,5,5,5,5,0,4,0,0,3 ,5 ,1 ,0 ,458,520,403,441,112 km,114 km,41 ,42 ,14,6,4,0,26,26,2 ,0 ,0,0,0,0,7,5,49%,51%,88%,85%
/worldcup/matches/match/300331527/,2018-06-21T03:00:00.000Z,Group C,Ekaterinburg Arena,Ekaterinburg,France,Peru,1,0,12,10,4,2,6,6,2,2,0,1,5 ,3 ,0 ,1 ,405,532,311,431,103 km,102 km,46 ,44 ,7,15,2,2,24,17,2 ,2 ,0,0,0,0,11,15,44%,56%,77%,81%
/worldcup/matches/match/300331513/,2018-06-21T06:00:00.000Z,Group D,Nizhny Novgorod Stadium,Nizhny Novgorod,Argentina,Croatia,0,3,10,15,3,5,3,6,4,4,1,1,5 ,2 ,3 ,3 ,505,372,408,296,101 km,104 km,35 ,34 ,19,13,4,4,24,19,3 ,4 ,0,0,0,0,15,23,58%,42%,81%,80%
/worldcup/matches/match/300331540/,2018-06-22T12:00:00.000Z,Group E,Saint Petersburg Stadium,St. Petersburg,Brazil,Costa Rica,2,0,23,4,9,0,9,4,5,0,1,0,10 ,1 ,3 ,3 ,732,271,662,199,105 km,109 km,42 ,38 ,7,13,0,4,13,40,2 ,1 ,0,0,0,0,11,11,66%,34%,90%,73%
/worldcup/matches/match/300331497/,2018-06-22T03:00:00.000Z,Group D,Volgograd Arena,Volgograd,Nigeria,Iceland,2,0,16,10,4,3,6,6,6,1,1,0,6 ,5 ,1 ,0 ,473,291,399,218,100 km,106 km,40 ,46 ,6,10,1,6,39,28,1 ,0 ,0,0,0,0,9,10,58%,42%,84%,75%
/worldcup/matches/match/300340183/,2018-06-22T06:00:00.000Z,Group E,Kaliningrad Stadium,Kaliningrad,Serbia,Switzerland,1,2,12,20,3,5,7,8,2,7,0,1,3 ,7 ,0 ,3 ,309,547,241,474,116 km,112 km,44 ,40 ,11,14,7,2,30,17,4 ,1 ,0,0,0,0,17,12,42%,58%,78%,87%
/worldcup/matches/match/300331547/,2018-06-23T12:00:00.000Z,Group G,Spartak Stadium,Moscow,Belgium,Tunisia,5,2,23,15,12,5,8,6,3,4,1,0,5 ,2 ,3 ,3 ,468,477,391,392,104 km,102 km,44 ,37 ,4,10,4,4,16,17,0 ,1 ,0,0,0,0,12,13,52%,48%,84%,82%
/worldcup/matches/match/300331549/,2018-06-23T03:00:00.000Z,Group F,Rostov Arena,Rostov-On-Don,Korea Republic,Mexico,1,2,17,13,6,5,2,6,9,2,0,0,7 ,5 ,0 ,0 ,346,485,284,432,99 km,97 km,42 ,40 ,18,13,2,9,21,18,4 ,0 ,0,0,0,0,24,7,41%,59%,82%,89%
/worldcup/matches/match/300331501/,2018-06-23T06:00:00.000Z,Group F,Fisht Stadium,Sochi,Germany,Sweden,2,1,16,8,5,6,4,1,7,1,1,0,8 ,3 ,5 ,2 ,699,213,633,165,111 km,110 km,32 ,46 ,10,10,1,7,13,46,0 ,2 ,0,0,1,0,12,13,71%,29%,91%,77%
